"date","price_wti","price_brent","dxy","price_gold","real_rate"
2006-01-01,65.49,62.99,100,569.8,2.01
2006-02-01,61.63,60.21,100.2112,556.5,2.05
2006-03-01,62.69,62.06,100.4281,584,2.2
2006-04-01,69.44,70.26,99.7435,638.25,2.41
2006-05-01,70.84,69.78,97.5118,654,2.45
2006-06-01,70.95,68.56,98.6927,600.4,2.53
2006-07-01,74.41,73.67,98.4387,637,2.51
2006-08-01,73.04,73.23,97.7138,621.75,2.29
2006-09-01,63.8,61.96,97.9814,601.75,2.32
2006-10-01,58.89,57.81,98.3157,600.9,2.41
2006-11-01,59.08,58.76,97.5133,638.4,2.29
2006-12-01,61.96,62.47,96.7951,635.7,2.25
2007-01-01,54.51,53.68,97.8338,645.75,2.44
2007-02-01,59.28,57.56,97.4764,677,2.36
2007-03-01,60.44,62.05,97.0118,663.5,2.18
2007-04-01,63.98,67.49,95.6322,678,2.26
2007-05-01,63.45,67.21,94.7225,656.6,2.37
2007-06-01,67.49,71.05,94.4449,648.5,2.69
2007-07-01,74.12,76.93,93.2059,666.75,2.64
2007-08-01,72.36,70.76,93.7603,668,2.44
2007-09-01,79.91,77.17,92.4366,737.75,2.26
2007-10-01,85.8,82.34,90.4002,783,2.2
2007-11-01,94.77,92.41,89.053,794.75,1.77
2007-12-01,91.69,90.93,90.005,836.5,1.79
2008-01-01,92.97,92.18,89.3971,923.75,1.47
2008-02-01,95.39,94.99,88.6434,969,1.41
2008-03-01,105.45,103.64,86.8399,937.25,1.09
2008-04-01,112.58,109.07,86.5475,867.75,1.36
2008-05-01,125.4,122.8,86.8245,879.5,1.46
2008-06-01,133.88,132.32,87.0728,932.75,1.63
2008-07-01,133.37,132.72,86.4538,912,1.57
2008-08-01,116.67,113.24,88.945,836.5,1.68
2008-09-01,104.11,97.23,91.2651,897,1.85
2008-10-01,76.61,71.58,98.04,728.5,2.75
2008-11-01,57.31,52.45,100.7667,813.5,2.89
2008-12-01,41.12,39.95,99.6622,865,2.17
2009-01-01,41.71,43.44,100.3521,918.5,1.91
2009-02-01,39.09,43.32,102.9737,943.75,1.75
2009-03-01,47.94,46.54,103.4397,918.5,1.71
2009-04-01,49.65,50.18,100.7162,889,1.57
2009-05-01,59.03,57.3,97.5519,972,1.72
2009-06-01,69.64,68.61,96.0426,941,1.86
2009-07-01,64.15,64.44,95.6606,936.5,1.82
2009-08-01,71.04,72.51,94.373,950.75,1.77
2009-09-01,69.41,67.65,93.6638,1001.25,1.64
2009-10-01,75.72,72.77,92.2598,1044.5,1.48
2009-11-01,77.99,76.66,91.7996,1172,1.28
2009-12-01,74.47,74.46,92.2586,1104,1.36
2010-01-01,78.33,76.17,92.4403,1082.75,1.37
2010-02-01,76.39,73.75,93.8867,1112.5,1.42
2010-03-01,81.2,78.83,93.1499,1109.5,1.51
2010-04-01,84.29,84.82,92.6391,1175.25,1.5
2010-05-01,73.74,75.95,95.5306,1214,1.31
2010-06-01,75.34,74.76,96.0606,1240.5,1.26
2010-07-01,76.32,75.58,94.4547,1168,1.24
2010-08-01,76.6,77.04,93.6822,1233.5,1.02
2010-09-01,75.24,77.84,92.7626,1311,0.91
2010-10-01,81.89,82.66,90.2291,1336.75,0.53
2010-11-01,84.25,85.27,90.5095,1375,0.67
2010-12-01,89.15,91.45,91.1835,1410.25,1.04
2011-01-01,89.17,96.52,90.1112,1333.5,1.06
2011-02-01,88.58,103.72,89.3967,1409.75,1.24
2011-03-01,102.86,114.64,88.4872,1431,0.96
2011-04-01,109.53,123.26,86.9214,1531,0.86
2011-05-01,100.9,114.99,86.9464,1537,0.78
2011-06-01,96.26,113.83,86.9413,1508,0.76
2011-07-01,97.3,116.97,86.3178,1613.75,0.62
2011-08-01,86.33,110.22,86.8982,1826,0.14
2011-09-01,85.52,112.83,89.7253,1629,0.08
2011-10-01,86.32,109.55,90.6098,1718,0.19
2011-11-01,97.16,110.77,91.2649,1704,0
2011-12-01,98.56,107.87,92.2056,1574.5,-0.03
2012-01-01,100.27,110.69,91.6463,1738,-0.11
2012-02-01,102.2,119.33,89.9605,1788,-0.25
2012-03-01,106.16,125.45,90.5112,1660.75,-0.14
2012-04-01,103.32,119.42,90.8156,1662.5,-0.21
2012-05-01,94.65,110.34,92.4928,1567.5,-0.34
2012-06-01,82.3,95.16,93.8809,1569.5,-0.5
2012-07-01,87.9,102.62,93.4062,1622.75,-0.6
2012-08-01,94.13,113.36,92.5283,1657.75,-0.59
2012-09-01,94.51,112.86,90.9802,1781,-0.71
2012-10-01,89.49,111.71,90.7566,1718,-0.75
2012-11-01,86.53,109.06,91.4751,1728.25,-0.77
2012-12-01,87.86,109.49,90.8804,1664,-0.76
2013-01-01,94.76,112.96,90.8255,1674.5,-0.61
2013-02-01,95.31,116.05,91.5509,1591,-0.57
2013-03-01,92.94,108.47,92.4132,1602.5,-0.59
2013-04-01,92.02,102.25,92.0478,1472.75,-0.65
2013-05-01,94.51,102.56,92.529,1410.25,-0.36
2013-06-01,95.77,102.92,93.2836,1203.25,0.25
2013-07-01,104.67,107.93,93.8724,1331.5,0.46
2013-08-01,106.57,111.28,93.7149,1392.75,0.55
2013-09-01,106.29,111.6,93.4706,1335.75,0.66
2013-10-01,100.54,109.08,92.4993,1333.75,0.43
2013-11-01,93.86,107.79,93.3737,1245.25,0.55
2013-12-01,97.63,110.76,93.534,1201.5,0.74
2014-01-01,94.62,108.12,94.4647,1246.5,0.63
2014-02-01,100.82,108.9,94.6456,1327.75,0.55
2014-03-01,100.8,107.48,94.4408,1294,0.56
2014-04-01,102.07,107.76,93.9956,1292,0.54
2014-05-01,102.18,109.54,93.67,1254,0.37
2014-06-01,105.79,111.8,93.8274,1313,0.37
2014-07-01,103.59,106.77,93.6039,1295,0.28
2014-08-01,96.54,101.61,94.5808,1285.75,0.22
2014-09-01,93.21,97.09,96.1209,1210,0.46
2014-10-01,84.4,87.43,97.4396,1173.25,0.38
2014-11-01,75.79,79.44,99.1147,1184.5,0.45
2014-12-01,59.29,62.34,101.4441,1199.25,0.51
2015-01-01,47.22,47.76,103.7607,1263.5,0.27
2015-02-01,50.58,58.1,105.1685,1205,0.26
2015-03-01,47.82,55.89,107.3647,1179.25,0.28
2015-04-01,54.45,59.52,106.3523,1204.3,0.08
2015-05-01,59.27,64.08,105.4065,1189.8,0.33
2015-06-01,59.82,61.48,106.179,1171.8,0.5
2015-07-01,50.9,56.56,108.1236,1095.1,0.5
2015-08-01,42.87,46.52,109.9767,1132.5,0.56
2015-09-01,45.48,47.62,110.8513,1115.2,0.65
2015-10-01,46.22,48.43,109.9036,1141.4,0.57
2015-11-01,42.44,44.27,111.6916,1065.3,0.69
2015-12-01,37.19,38.01,112.7857,1060.2,0.73
2016-01-01,31.68,30.7,115.2344,1116.4,0.67
2016-02-01,30.32,32.18,114.2817,1234.4,0.47
2016-03-01,37.55,38.21,111.8934,1235.6,0.34
2016-04-01,40.76,41.58,110.0171,1290.5,0.19
2016-05-01,46.71,46.74,111.1405,1217.5,0.21
2016-06-01,48.76,48.25,111.5596,1320.6,0.17
2016-07-01,44.65,44.95,112.4773,1357.5,0.04
2016-08-01,44.72,45.84,111.4384,1311.4,0.09
2016-09-01,45.18,46.57,112.3169,1317.1,0.12
2016-10-01,49.78,49.52,113.4747,1273.1,0.1
2016-11-01,45.66,44.73,116.1075,1173.9,0.32
2016-12-01,51.97,53.31,117.9048,1151.7,0.56
2017-01-01,52.5,54.58,117.7858,1211.4,0.42
2017-02-01,53.47,54.87,116.1204,1253.9,0.4
2017-03-01,49.33,51.59,115.6558,1251.2,0.49
2017-04-01,51.06,52.31,114.7698,1268.3,0.39
2017-05-01,48.48,50.33,114.2591,1275.4,0.47
2017-06-01,45.18,46.37,112.7603,1242.3,0.46
2017-07-01,46.63,48.48,111.0606,1273.4,0.55
2017-08-01,48.04,51.7,109.9059,1322.2,0.43
2017-09-01,49.82,56.15,108.8542,1284.8,0.37
2017-10-01,51.58,57.51,110.8892,1270.5,0.5
2017-11-01,56.64,62.71,111.1635,1282.15,0.5
2017-12-01,57.88,64.37,110.8758,1296.5,0.5
2018-01-01,63.7,69.08,108.3568,1343.35,0.54
2018-02-01,62.23,65.32,107.6501,1320.3,0.76
2018-03-01,62.72,66.02,107.9472,1323.9,0.75
2018-04-01,66.25,72.11,107.9434,1316.25,0.74
2018-05-01,69.98,76.98,111.047,1303.5,0.84
2018-06-01,67.87,74.4,112.8444,1250.55,0.79
2018-07-01,70.98,74.25,113.0595,1219.2,0.77
2018-08-01,68.06,72.53,113.8316,1206.85,0.79
2018-09-01,70.23,78.89,114.0787,1183.5,0.88
2018-10-01,70.75,81.03,114.8313,1217.7,1.04
2018-11-01,56.96,64.75,116.169,1220.45,1.11
2018-12-01,49.52,57.36,116.2118,1281.65,1.02
2019-01-01,51.38,59.41,114.4425,1322.5,0.92
2019-02-01,54.95,63.96,114.413,1325.45,0.8
2019-03-01,58.15,66.14,114.7835,1291.15,0.66
2019-04-01,63.86,71.23,114.9038,1285.15,0.6
2019-05-01,60.83,71.32,115.9574,1296,0.57
2019-06-01,54.66,64.22,115.4271,1413.2,0.37
2019-07-01,57.36,63.92,115.0776,1430.55,0.31
2019-08-01,54.81,59.04,117.1004,1526.55,0.04
2019-09-01,56.95,62.83,117.3239,1487.6,0.11
2019-10-01,53.96,59.71,116.7463,1506.4,0.15
2019-11-01,57.05,63.21,116.5595,1456.35,0.17
2019-12-01,59.82,67.22,115.9096,1523,0.14
2020-01-01,57.52,63.65,115.2794,1580.85,0.04
2020-02-01,50.54,55.66,116.7105,1626.35,-0.11
2020-03-01,29.21,32.01,121.0227,1604.65,-0.12
2020-04-01,16.55,18.38,123.2803,1716.75,-0.45
2020-05-01,28.56,29.38,122.615,1725.65,-0.44
2020-06-01,38.31,40.27,119.6766,1770.7,-0.54
2020-07-01,40.71,43.24,118.6901,1971.68,-0.83
2020-08-01,42.34,44.74,116.9453,1970.5,-1.01
2020-09-01,39.63,40.91,116.3431,1893.9,-0.98
2020-10-01,39.4,40.19,115.7798,1879.9,-0.92
2020-11-01,40.94,42.69,114.0984,1779.86,-0.84
2020-12-01,47.03,49.99,111.8992,1895.1,-0.98
2021-01-01,52.01,54.77,111.4873,1849.7,-1
2021-02-01,59.05,62.28,112.0171,1728.8,-0.92
2021-03-01,62.33,65.41,113.3366,1715.24,-0.66
2021-04-01,61.72,64.81,112.6323,1767.7,-0.71
2021-05-01,65.17,68.53,111.2123,1904.74,-0.85
2021-06-01,71.38,73.16,111.5777,1771.6,-0.82
2021-07-01,72.49,75.17,113.0633,1814.12,-1.01
2021-08-01,67.73,70.75,113.4025,1815.8,-1.07
2021-09-01,71.65,74.49,113.4437,1756.66,-0.97
2021-10-01,81.48,83.54,114.0635,1783.9,-0.95
2021-11-01,79.15,81.05,114.9898,1775.92,-1.06
2021-12-01,71.71,74.17,115.8045,1828.6,-0.99
2022-01-01,83.22,86.51,115.0373,1796.12,-0.69
2022-02-01,91.64,97.13,114.9977,1900.7,-0.52
2022-03-01,108.5,117.25,116.2908,1953.04,-0.72
2022-04-01,101.78,104.58,117.1688,1911.7,-0.14
2022-05-01,109.55,113.34,119.6962,1847.26,0.21
2022-06-01,114.84,122.71,120.0257,1817.4548,0.53
2022-07-01,101.62,111.93,122.7512,1766.4309,0.53
2022-08-01,93.67,100.45,122.3178,1708.58,0.39
2022-09-01,84.26,89.76,125.5946,1660.8799,1.14
2022-10-01,87.55,93.33,127.4806,1632.38,1.59
2022-11-01,84.37,91.42,124.8527,1768.61,1.52
2022-12-01,76.44,80.92,122.2343,1824.3233,1.36
2023-01-01,78.12,82.5,119.8101,1928.1201,1.29
2023-02-01,76.83,82.59,120.3084,1826.7404,1.41
2023-03-01,73.28,78.43,120.745,1969.5459,1.36
2023-04-01,79.45,84.64,119.2451,1990.6,1.19
2023-05-01,71.58,75.47,119.6293,1965.2,1.36
2023-06-01,70.25,74.84,119.297,1919.5693,1.55
2023-07-01,76.07,80.11,118.0492,1964.3387,1.6
2023-08-01,81.39,86.15,119.8563,1939.8281,1.83
2023-09-01,89.43,93.72,121.6455,1848.4898,2.04
2023-10-01,85.64,90.6,123.4971,1984.0109,2.41
2023-11-01,77.69,82.94,121.2221,2044.8957,2.2
2023-12-01,71.9,77.63,119.8331,2062.9233,1.84
2024-01-01,74.15,80.12,120.2274,2039.1538,1.79
2024-02-01,77.25,83.48,121.0659,2044.1997,1.93
2024-03-01,81.28,85.41,120.6588,2231.5551,1.9
2024-04-01,85.35,89.94,122.1428,2285.9886,2.15
2024-05-01,80.02,81.75,121.8583,2327.2836,2.15
