Date	Value	
1/1/2000	283.05	
2/1/2000	294	
3/1/2000	275.9	
4/1/2000	275.85	
5/1/2000	272.25	
6/1/2000	289.15	
7/1/2000	277.4	
8/1/2000	274.95	
9/1/2000	274.1	
10/1/2000	263.8	
11/1/2000	267	
12/1/2000	272.65	
1/1/2001	266.2	
2/1/2001	265	
3/1/2001	259.05	
4/1/2001	263.45	
5/1/2001	266.1	
6/1/2001	269.9	
7/1/2001	265.55	
8/1/2001	275.35	
9/1/2001	290.85	
10/1/2001	280.95	
11/1/2001	274.7	
12/1/2001	276.5	
1/1/2002	281.5	
2/1/2002	296.55	
3/1/2002	303	
4/1/2002	309.35	
5/1/2002	327.25	
6/1/2002	319.05	
7/1/2002	305.5	
8/1/2002	312.4	
9/1/2002	322.4	
10/1/2002	316.35	
11/1/2002	318.25	
12/1/2002	342.75	
1/1/2003	370.35	
2/1/2003	347.65	
3/1/2003	335.35	
4/1/2003	336	
5/1/2003	365.8	
6/1/2003	345.15	
7/1/2003	355.75	
8/1/2003	371	
9/1/2003	384.5	
10/1/2003	384.6	
11/1/2003	398.1	
12/1/2003	417.25	
1/1/2004	401.3	
2/1/2004	392.25	
3/1/2004	423	
4/1/2004	387.3	
5/1/2004	393.85	
6/1/2004	393.75	
7/1/2004	389.6	
8/1/2004	408.1	
9/1/2004	412.35	
10/1/2004	426.2	
11/1/2004	452	
12/1/2004	438	
1/1/2005	423.8	
2/1/2005	436.55	
3/1/2005	427.5	
4/1/2005	433.2	
5/1/2005	416.9	
6/1/2005	436.8	
7/1/2005	427.15	
8/1/2005	433	
9/1/2005	473.4	
10/1/2005	472.65	
11/1/2005	493.8	
12/1/2005	513	
1/1/2006	569.8	
2/1/2006	556.5	
3/1/2006	584	
4/1/2006	638.25	
5/1/2006	654	
6/1/2006	600.4	
7/1/2006	637	
8/1/2006	621.75	
9/1/2006	601.75	
10/1/2006	600.9	
11/1/2006	638.4	
12/1/2006	635.7	
1/1/2007	645.75	
2/1/2007	677	
3/1/2007	663.5	
4/1/2007	678	
5/1/2007	656.6	
6/1/2007	648.5	
7/1/2007	666.75	
8/1/2007	668	
9/1/2007	737.75	
10/1/2007	783	
11/1/2007	794.75	
12/1/2007	836.5	
1/1/2008	923.75	
2/1/2008	969	
3/1/2008	937.25	
4/1/2008	867.75	
5/1/2008	879.5	
6/1/2008	932.75	
7/1/2008	912	
8/1/2008	836.5	
9/1/2008	897	
10/1/2008	728.5	
11/1/2008	813.5	
12/1/2008	865	
1/1/2009	918.5	
2/1/2009	943.75	
3/1/2009	918.5	
4/1/2009	889	
5/1/2009	972	
6/1/2009	941	
7/1/2009	936.5	
8/1/2009	950.75	
9/1/2009	1001.25	
10/1/2009	1044.5	
11/1/2009	1172	
12/1/2009	1104	
1/1/2010	1082.75	
2/1/2010	1112.5	
3/1/2010	1109.5	
4/1/2010	1175.25	
